"Name","Team","AVG","HR","BB%","K%","OBP","LD%","GB%","FB%","wRC+","Z-Contact%","Contact%","FA% (pfx)","FC% (pfx)","SL% (pfx)","CU% (pfx)","CH% (pfx)","wFA/C (pfx)","wFC/C (pfx)","wSL/C (pfx)","wCU/C (pfx)","wCH/C (pfx)","O-Swing% (pfx)","Z-Swing% (pfx)","Swing% (pfx)","O-Contact% (pfx)","Z-Contact% (pfx)","Contact% (pfx)","Pull%","Cent%","Oppo%","playerid"
"Caleb Smith","- - -",".200","0","0.0 %","37.3 %",".212","18.8 %","65.6 %","15.6 %","16","75.7 %","68.3 %","51.3 %","2.6 %","9.0 %","12.4 %","3.9 %","-1.26","-10.68","-5.33","-7.79","-13.60","41.2 %","63.6 %","53.9 %","47.6 %","78.6 %","68.3 %","26.1 %","41.3 %","32.6 %","14875"
"Daniel Dorn","Diamondbacks",".167","0","6.3 %","31.3 %",".219","25.0 %","50.0 %","25.0 %","9","89.7 %","70.4 %","41.6 %","7.2 %","16.0 %","6.4 %","11.2 %","-0.62","0.77","-10.19","-4.56","-5.98","43.4 %","77.6 %","56.8 %","54.6 %","84.2 %","70.4 %","45.0 %","50.0 %","5.0 %","1050"
"Alberto Rosario","Cardinals",".171","0","4.5 %","13.6 %",".209","25.7 %","54.3 %","20.0 %","15","90.9 %","83.3 %","46.8 %","6.5 %","18.9 %","5.9 %","1.8 %","-2.75","-5.29","-6.36","-9.99","-0.51","38.0 %","55.8 %","46.2 %","74.3 %","90.7 %","83.3 %","30.6 %","25.0 %","44.4 %","7125"
"Cole Figueroa","- - -",".176","0","2.9 %","5.7 %",".200","29.0 %","32.3 %","38.7 %","14","90.9 %","92.7 %","50.5 %","3.6 %","18.0 %","6.3 %","4.5 %","-4.71","-7.61","-5.29","1.50","3.71","32.8 %","67.9 %","49.6 %","94.7 %","91.7 %","92.7 %","37.5 %","34.4 %","28.1 %","8790"
"Dan Johnson","Cardinals",".158","0","9.5 %","19.0 %",".238","13.3 %","46.7 %","40.0 %","15","90.3 %","85.7 %","27.9 %","19.2 %","11.5 %","3.9 %","2.9 %","-5.08","-2.52","-5.59","-4.53","-3.51","22.5 %","56.4 %","40.4 %","63.6 %","93.6 %","85.7 %","60.0 %","13.3 %","26.7 %","2167"
"Moises Sierra","Nationals",".167","0","3.3 %","33.3 %",".217","8.3 %","63.9 %","27.8 %","11","78.8 %","72.8 %","33.6 %","7.1 %","19.9 %","8.9 %","13.3 %","-2.03","-6.21","2.50","-5.85","-5.41","25.9 %","66.4 %","45.6 %","60.0 %","78.1 %","72.8 %","41.7 %","30.6 %","27.8 %","6050"
"Tim Lincecum","- - -",".143","0","8.0 %","40.0 %",".217","10.0 %","90.0 %","0.0 %","17","75.8 %","71.1 %","45.3 %","4.2 %","17.9 %","4.2 %","5.3 %","-3.60","-13.56","-7.16","0.26","-4.90","25.0 %","46.3 %","40.0 %","14.3 %","83.9 %","71.1 %","7.7 %","38.5 %","53.9 %","5705"
"Seth Lugo","Mets",".158","1","3.0 %","30.3 %",".183","14.3 %","65.7 %","20.0 %","15","74.0 %","69.2 %","37.6 %","4.5 %","14.5 %","9.5 %","4.1 %","-2.78","2.88","-7.31","-3.71","5.68","33.0 %","57.6 %","46.2 %","50.0 %","77.9 %","68.6 %","27.3 %","34.1 %","38.6 %","12447"
"Matt McBride","- - -",".188","0","1.1 %","16.1 %",".207","23.9 %","29.6 %","46.5 %","5","91.6 %","83.3 %","30.0 %","4.8 %","23.1 %","5.5 %","7.6 %","-1.13","-3.38","-4.97","-6.18","-4.53","33.1 %","63.1 %","49.7 %","65.1 %","91.1 %","83.3 %","43.7 %","36.6 %","19.7 %","9373"
"Anthony Alford","Blue Jays",".145","1","5.1 %","39.0 %",".203","12.5 %","50.0 %","37.5 %","11","70.8 %","64.2 %","38.3 %","8.6 %","21.8 %","5.8 %","10.3 %","-3.27","-2.86","0.05","-10.80","-0.26","32.6 %","61.0 %","44.9 %","60.0 %","67.2 %","64.2 %","37.5 %","40.6 %","21.9 %","14329"
"Danny Worth","Astros",".179","0","2.5 %","15.0 %",".200","24.2 %","51.5 %","24.2 %","13","93.5 %","87.3 %","42.8 %","4.1 %","11.7 %","8.3 %","11.7 %","-1.29","1.46","-8.06","-4.19","-4.44","24.1 %","66.7 %","43.5 %","68.4 %","95.5 %","87.3 %","48.5 %","24.2 %","27.3 %","198"
"Patrick Corbin","- - -",".168","0","5.2 %","36.1 %",".214","18.0 %","71.9 %","10.1 %","7","78.3 %","69.8 %","45.6 %","4.1 %","8.1 %","8.6 %","4.7 %","-2.99","-5.95","-3.04","-4.23","-3.84","37.6 %","52.0 %","45.3 %","62.6 %","74.3 %","69.8 %","23.4 %","41.5 %","35.1 %","9323"
"Jhoulys Chacin","- - -",".184","1","2.3 %","24.9 %",".205","13.8 %","55.0 %","31.2 %","10","79.2 %","71.3 %","36.4 %","3.4 %","17.6 %","13.9 %","5.0 %","-2.56","-8.83","-0.79","-5.14","-3.36","36.1 %","65.1 %","50.6 %","56.3 %","80.1 %","71.6 %","42.1 %","27.8 %","30.2 %","2608"
"Jason Marquis","Reds",".188","0","0.0 %","23.5 %",".188","27.3 %","36.4 %","36.4 %","10","83.3 %","71.0 %","37.8 %","4.4 %","13.3 %","6.7 %","8.9 %","0.01","-10.37","-9.43","-4.82","-15.09","47.1 %","82.1 %","68.9 %","50.0 %","78.3 %","71.0 %","15.4 %","23.1 %","61.5 %","105"
"Blake Trahan","Reds",".214","0","0.0 %","28.6 %",".214","20.0 %","60.0 %","20.0 %","9","100.0 %","81.8 %","55.1 %","","24.5 %","10.2 %","","-4.89","","1.81","-3.68","","40.0 %","50.0 %","44.9 %","60.0 %","100.0 %","81.8 %","30.0 %","30.0 %","40.0 %","17588"
"Tyler Lyons","- - -",".136","0","11.1 %","25.9 %",".240","14.3 %","85.7 %","0.0 %","18","85.7 %","85.0 %","41.4 %","1.8 %","9.0 %","9.0 %","1.8 %","-2.76","3.96","0.17","3.62","2.95","11.4 %","52.2 %","36.0 %","80.0 %","85.7 %","85.0 %","41.2 %","29.4 %","29.4 %","11334"
"Tommy Milone","- - -",".136","0","11.1 %","37.0 %",".240","16.7 %","58.3 %","25.0 %","12","90.9 %","75.6 %","40.4 %","2.9 %","8.7 %","10.6 %","18.3 %","-1.30","-6.87","-8.24","-5.36","-0.95","33.3 %","51.6 %","44.2 %","35.7 %","93.8 %","76.1 %","35.7 %","35.7 %","28.6 %","7608"
"Ryan Lollis","Giants",".167","0","7.7 %","7.7 %",".231","20.0 %","70.0 %","10.0 %","15","100.0 %","96.0 %","29.4 %","13.7 %","2.0 %","7.8 %","13.7 %","-0.21","-7.54","-3.67","-1.80","-3.71","20.0 %","76.9 %","49.0 %","80.0 %","100.0 %","96.0 %","36.4 %","27.3 %","36.4 %","6623"
"Marc Krauss","- - -",".141","2","3.7 %","38.3 %",".173","14.9 %","29.8 %","55.3 %","12","76.8 %","68.8 %","40.2 %","2.7 %","13.2 %","5.4 %","5.7 %","-2.75","-9.85","-3.19","-1.98","-5.79","29.3 %","56.6 %","42.3 %","56.9 %","75.6 %","68.8 %","36.2 %","36.2 %","27.7 %","7577"
"Jefry Rodriguez","- - -",".188","0","0.0 %","44.4 %",".188","12.5 %","87.5 %","0.0 %","9","57.9 %","56.3 %","61.1 %","","7.4 %","7.4 %","7.4 %","-2.88","","-10.54","14.52","-9.20","45.5 %","68.8 %","59.3 %","30.0 %","68.2 %","56.3 %","20.0 %","50.0 %","30.0 %","17018"
"Walker Lockett","- - -",".100","0","16.7 %","66.7 %",".250","50.0 %","0.0 %","50.0 %","14","58.3 %","44.4 %","26.8 %","12.5 %","5.4 %","7.1 %","5.4 %","-2.82","-4.47","-0.26","-6.89","-2.55","15.4 %","46.7 %","32.1 %","25.0 %","50.0 %","44.4 %","0.0 %","100.0 %","0.0 %","13804"
"Chris Heston","- - -",".196","0","0.0 %","31.0 %",".196","9.4 %","71.9 %","18.8 %","15","79.8 %","66.4 %","46.2 %","7.1 %","11.2 %","9.5 %","4.1 %","-5.68","0.61","-1.42","-7.52","5.97","47.5 %","86.5 %","68.1 %","42.1 %","77.9 %","66.1 %","30.0 %","37.5 %","32.5 %","10302"
"Jacob Hannemann","Mariners",".150","1","0.0 %","20.0 %",".150","12.5 %","56.3 %","31.3 %","11","78.6 %","71.1 %","34.8 %","4.4 %","8.7 %","8.7 %","17.4 %","1.34","19.41","-6.49","-6.67","-5.98","44.1 %","65.7 %","55.1 %","60.0 %","78.3 %","71.1 %","50.0 %","25.0 %","25.0 %","15644"
"Stuart Turner","Reds",".134","2","5.6 %","24.7 %",".182","16.4 %","44.3 %","39.3 %","4","78.0 %","75.5 %","40.1 %","7.1 %","13.1 %","7.4 %","4.4 %","-1.82","-5.98","-4.35","-3.03","-1.33","25.2 %","68.8 %","47.8 %","63.9 %","80.2 %","76.1 %","38.7 %","32.3 %","29.0 %","15207"
"Arismendy Alcantara","- - -",".160","1","4.4 %","35.8 %",".197","11.0 %","59.3 %","29.7 %","5","74.9 %","67.1 %","37.1 %","5.1 %","12.1 %","8.2 %","13.1 %","-3.30","0.33","-5.84","-1.97","-1.56","41.9 %","60.1 %","51.1 %","51.6 %","76.5 %","66.5 %","44.2 %","24.2 %","31.6 %","10711"
"Braxton Lee","Marlins",".176","0","5.6 %","44.4 %",".222","25.0 %","50.0 %","25.0 %","14","95.2 %","83.9 %","28.0 %","","10.7 %","14.7 %","14.7 %","0.42","","-3.48","2.30","-10.46","32.4 %","48.8 %","41.3 %","63.6 %","100.0 %","87.1 %","0.0 %","44.4 %","55.6 %","16839"
"A.J. Cole","- - -",".115","1","6.7 %","33.3 %",".179","6.7 %","53.3 %","40.0 %","17","78.1 %","76.6 %","54.1 %","3.1 %","11.2 %","8.2 %","6.1 %","-1.77","-13.65","-6.40","-1.98","-3.03","31.3 %","58.0 %","44.9 %","53.3 %","86.2 %","75.0 %","22.2 %","27.8 %","50.0 %","11467"
"Jason Hammel","- - -",".191","0","1.3 %","30.5 %",".201","16.3 %","65.2 %","18.5 %","8","83.3 %","70.7 %","44.4 %","5.5 %","13.5 %","9.0 %","3.7 %","-2.22","2.06","-2.79","-6.87","-7.83","43.1 %","75.7 %","61.5 %","44.8 %","81.7 %","70.4 %","31.1 %","39.8 %","29.1 %","4538"
"Ricky Nolasco","- - -",".000","0","26.7 %","40.0 %",".267","0.0 %","20.0 %","80.0 %","11","64.7 %","59.3 %","65.6 %","","14.8 %","6.6 %","3.3 %","-1.35","","-5.79","1.15","-9.80","33.3 %","40.9 %","36.1 %","53.9 %","55.6 %","54.6 %","0.0 %","60.0 %","40.0 %","3830"
"Albert Suarez","Giants",".174","0","0.0 %","42.3 %",".174","16.7 %","83.3 %","0.0 %","12","64.0 %","55.6 %","48.1 %","1.3 %","3.9 %","","1.3 %","-0.34","2.62","-6.84","","2.62","41.0 %","76.3 %","58.4 %","43.8 %","62.1 %","55.6 %","33.3 %","46.7 %","20.0 %","6175"
"Joe Ross","Nationals",".168","0","3.7 %","40.4 %",".206","17.4 %","63.8 %","18.8 %","4","75.8 %","67.0 %","46.1 %","2.8 %","12.4 %","9.8 %","5.0 %","-3.38","5.63","-3.90","-0.46","-2.79","31.4 %","58.9 %","45.9 %","46.0 %","75.6 %","66.1 %","33.3 %","37.3 %","29.3 %","12972"
"Nick Noonan","- - -",".125","1","6.8 %","29.5 %",".182","7.1 %","50.0 %","42.9 %","10","77.3 %","67.5 %","42.5 %","2.5 %","11.3 %","8.8 %","18.1 %","-2.54","-3.93","0.53","4.86","-4.00","36.9 %","60.5 %","48.1 %","58.1 %","73.9 %","67.5 %","39.3 %","42.9 %","17.9 %","6880"
"Clayton Kershaw","Dodgers",".161","0","4.8 %","24.2 %",".209","16.3 %","68.0 %","15.7 %","8","85.5 %","77.1 %","48.6 %","4.4 %","13.0 %","7.3 %","5.1 %","-3.02","-2.73","-0.99","-3.41","-4.89","34.1 %","55.4 %","45.1 %","64.4 %","84.1 %","76.9 %","26.9 %","33.8 %","39.3 %","2036"
"Emilio Bonifacio","- - -",".169","0","3.6 %","28.4 %",".204","21.0 %","50.0 %","29.0 %","6","83.8 %","76.7 %","42.5 %","3.1 %","10.4 %","5.9 %","10.9 %","-4.60","4.77","-1.78","-0.05","-3.75","31.7 %","60.3 %","46.6 %","63.0 %","83.8 %","77.0 %","33.3 %","30.7 %","36.0 %","4054"
"Kevin Kramer","Pirates",".152","0","8.9 %","41.1 %",".222","26.7 %","22.2 %","51.1 %","7","75.2 %","67.4 %","36.5 %","3.7 %","17.2 %","10.9 %","13.2 %","-3.78","-0.91","-5.06","-3.92","0.84","37.9 %","70.1 %","51.9 %","53.1 %","77.4 %","67.4 %","28.9 %","42.2 %","28.9 %","17689"
"Tyler Chatwood","- - -",".170","0","3.2 %","22.2 %",".200","19.8 %","57.3 %","22.9 %","-6","88.0 %","81.9 %","48.9 %","5.1 %","14.4 %","9.3 %","3.3 %","-3.80","1.33","-6.95","0.42","-5.57","27.1 %","58.8 %","44.6 %","61.2 %","89.9 %","82.0 %","23.7 %","33.9 %","42.4 %","4338"
"Jon Niese","- - -",".146","0","7.4 %","34.0 %",".213","21.3 %","72.3 %","6.4 %","8","90.8 %","83.2 %","48.9 %","5.3 %","5.3 %","6.7 %","8.2 %","-1.20","-9.29","-1.26","-5.54","-1.47","23.4 %","51.8 %","39.9 %","62.2 %","89.4 %","82.7 %","23.6 %","30.9 %","45.5 %","4424"
"Homer Bailey","- - -",".178","0","2.2 %","30.3 %",".200","19.0 %","78.6 %","2.4 %","3","85.1 %","77.6 %","50.0 %","5.6 %","13.9 %","5.2 %","2.4 %","-5.58","-3.17","-1.86","-6.36","-2.06","28.4 %","59.7 %","45.1 %","55.3 %","85.9 %","76.9 %","20.0 %","45.0 %","35.0 %","8362"
"Josh Collmenter","- - -",".152","0","7.7 %","38.5 %",".222","17.6 %","70.6 %","11.8 %","2","81.8 %","74.0 %","53.6 %","2.9 %","11.4 %","8.6 %","3.6 %","-2.38","-4.06","-13.33","-5.56","13.54","14.5 %","52.6 %","35.7 %","44.4 %","80.5 %","74.0 %","14.3 %","47.6 %","38.1 %","7312"
"Brennan Boesch","Reds",".146","1","4.3 %","31.9 %",".191","16.9 %","57.6 %","25.4 %","4","88.1 %","72.9 %","35.3 %","6.8 %","10.7 %","6.1 %","13.5 %","-2.05","-6.31","-7.59","2.97","-3.75","50.6 %","72.4 %","60.7 %","53.4 %","88.2 %","72.7 %","45.8 %","33.9 %","20.3 %","914"
"Luke Weaver","- - -",".180","1","1.9 %","36.9 %",".196","17.4 %","65.2 %","17.4 %","5","70.3 %","64.8 %","50.0 %","7.2 %","16.9 %","3.6 %","3.3 %","-2.88","-2.59","-7.04","-9.42","-5.23","34.4 %","59.5 %","48.6 %","35.2 %","76.2 %","63.6 %","15.9 %","54.0 %","30.2 %","16918"
"Henderson Alvarez","- - -",".167","0","0.0 %","25.0 %",".167","11.1 %","55.6 %","33.3 %","14","83.3 %","73.3 %","48.8 %","2.4 %","19.5 %","2.4 %","","-3.47","3.90","1.69","-20.95","","68.8 %","76.0 %","73.2 %","63.6 %","79.0 %","73.3 %","33.3 %","55.6 %","11.1 %","5669"
"Jon Moscot","Reds",".125","0","0.0 %","45.5 %",".222","0.0 %","66.7 %","33.3 %","-3","75.0 %","62.5 %","39.3 %","28.6 %","7.1 %","7.1 %","","-4.06","-0.86","-7.53","-17.24","","66.7 %","52.6 %","57.1 %","50.0 %","70.0 %","62.5 %","0.0 %","40.0 %","60.0 %","13849"
"Pablo Lopez","Marlins",".176","0","1.9 %","50.0 %",".192","19.0 %","61.9 %","19.0 %","8","60.9 %","49.0 %","34.6 %","3.9 %","10.7 %","11.2 %","4.9 %","-3.87","-0.80","-7.13","-4.08","-12.29","33.0 %","57.9 %","46.8 %","20.0 %","62.1 %","49.0 %","7.7 %","53.9 %","38.5 %","17085"
"Robert Gsellman","Mets",".115","0","10.6 %","37.9 %",".230","15.8 %","73.7 %","10.5 %","5","100.0 %","96.6 %","46.2 %","2.4 %","10.1 %","4.5 %","2.8 %","-1.89","-1.45","-3.97","-4.49","-0.54","5.8 %","37.1 %","23.9 %","83.3 %","98.1 %","96.6 %","9.1 %","30.3 %","60.6 %","13696"
"Rick Porcello","Red Sox",".167","0","0.0 %","45.8 %",".167","9.1 %","63.6 %","27.3 %","10","64.3 %","50.0 %","52.1 %","2.7 %","17.8 %","1.4 %","2.7 %","-0.97","-6.25","-8.84","-16.30","0.30","36.4 %","67.5 %","53.4 %","16.7 %","66.7 %","51.3 %","30.8 %","15.4 %","53.9 %","2717"
"Brett Anderson","- - -",".145","0","7.1 %","46.4 %",".213","28.0 %","52.0 %","20.0 %","4","69.4 %","54.6 %","48.8 %","2.8 %","2.8 %","7.6 %","7.2 %","-2.21","5.57","-14.51","-6.66","-7.55","32.0 %","48.5 %","41.2 %","29.3 %","68.4 %","55.0 %","10.3 %","48.7 %","41.0 %","8223"
"Taylor Teagarden","Cubs",".200","0","0.0 %","26.7 %",".200","36.4 %","45.5 %","18.2 %","2","78.3 %","71.1 %","45.2 %","","9.7 %","8.1 %","8.1 %","0.40","","-7.29","4.22","-11.45","45.2 %","77.4 %","61.3 %","50.0 %","83.3 %","71.1 %","9.1 %","45.5 %","45.5 %","5199"
"Rob Whalen","- - -",".200","0","0.0 %","27.3 %",".200","28.6 %","71.4 %","0.0 %","1","75.0 %","73.3 %","66.7 %","","6.7 %","","","-5.44","","-0.76","","","20.0 %","65.0 %","50.0 %","50.0 %","76.9 %","73.3 %","25.0 %","25.0 %","50.0 %","14165"
"Daniel Mengden","Athletics",".154","0","6.7 %","40.0 %",".214","0.0 %","85.7 %","14.3 %","28","73.3 %","63.3 %","40.4 %","7.0 %","5.3 %","8.8 %","5.3 %","-3.42","-0.34","-15.33","-12.10","14.06","40.0 %","62.5 %","52.6 %","40.0 %","75.0 %","63.3 %","25.0 %","62.5 %","12.5 %","16980"
"Jeremy Hellickson","- - -",".142","0","5.4 %","31.7 %",".202","18.6 %","69.6 %","11.8 %","-1","91.0 %","81.0 %","44.0 %","5.7 %","10.6 %","7.5 %","5.3 %","-3.38","-3.60","-1.66","-5.22","-2.87","29.3 %","51.5 %","41.5 %","65.4 %","89.2 %","81.6 %","25.6 %","39.2 %","35.2 %","4371"
"Tim Melville","- - -",".200","0","0.0 %","41.7 %",".200","20.0 %","80.0 %","0.0 %","-5","80.0 %","73.7 %","43.9 %","9.8 %","14.6 %","7.3 %","2.4 %","-4.47","-5.62","4.03","-11.19","-19.23","25.0 %","60.0 %","46.3 %","50.0 %","80.0 %","73.7 %","28.6 %","28.6 %","42.9 %","9149"
"Nick Margevicius","Padres",".200","0","0.0 %","41.2 %",".200","25.0 %","62.5 %","12.5 %","3","82.4 %","70.4 %","59.7 %","1.4 %","8.3 %","4.2 %","6.9 %","-0.24","-19.87","-2.45","-1.21","-17.69","27.0 %","48.6 %","37.5 %","50.0 %","82.4 %","70.4 %","40.0 %","20.0 %","40.0 %","20395"
"Ian Miller","Twins",".176","0","0.0 %","17.6 %",".176","35.7 %","42.9 %","21.4 %","-1","80.0 %","73.2 %","40.5 %","","14.9 %","8.1 %","17.6 %","-2.20","","1.86","-1.19","-3.74","33.3 %","80.0 %","55.4 %","38.5 %","89.3 %","73.2 %","35.7 %","21.4 %","42.9 %","15156"
"Skye Bolt","Athletics",".100","0","9.1 %","27.3 %",".182","28.6 %","28.6 %","42.9 %","3","66.7 %","76.5 %","16.7 %","2.4 %","11.9 %","11.9 %","11.9 %","-4.86","3.74","-14.26","15.10","-6.08","27.3 %","55.0 %","40.5 %","83.3 %","72.7 %","76.5 %","28.6 %","28.6 %","42.9 %","17723"
"Stephen Strasburg","Nationals",".154","3","3.7 %","26.9 %",".189","19.3 %","67.5 %","13.3 %","-3","89.1 %","81.0 %","48.7 %","3.7 %","12.9 %","9.3 %","4.8 %","-2.71","-0.64","-4.09","-3.58","-2.57","28.3 %","56.9 %","43.7 %","60.6 %","90.0 %","81.1 %","23.0 %","46.1 %","30.9 %","10131"
"Colin Rea","- - -",".143","0","5.9 %","39.2 %",".200","23.8 %","38.1 %","38.1 %","1","78.0 %","63.3 %","47.5 %","3.9 %","15.5 %","8.3 %","4.4 %","-3.03","-11.10","-0.63","-5.07","-2.00","31.8 %","54.8 %","43.7 %","42.9 %","74.5 %","63.3 %","25.0 %","53.6 %","21.4 %","12317"
"Jake Thompson","Phillies",".143","0","3.0 %","36.4 %",".172","6.3 %","62.5 %","31.3 %","-3","76.9 %","68.6 %","29.5 %","4.9 %","18.0 %","6.6 %","3.3 %","-4.68","-6.06","-4.17","-2.98","-27.27","22.6 %","56.5 %","41.8 %","33.3 %","79.5 %","68.6 %","25.0 %","30.0 %","45.0 %","14371"
"Willie Bloomquist","Mariners",".159","0","2.8 %","18.1 %",".194","16.1 %","48.2 %","35.7 %","1","90.0 %","81.8 %","39.2 %","1.3 %","14.2 %","7.1 %","7.1 %","-4.41","17.62","-6.17","-3.00","-0.26","33.6 %","72.0 %","52.5 %","61.0 %","91.8 %","81.8 %","39.3 %","32.1 %","28.6 %","1066"
"Wade Miley","- - -",".167","0","3.8 %","28.8 %",".200","10.0 %","83.3 %","6.7 %","-2","91.1 %","81.5 %","36.1 %","6.3 %","11.0 %","10.5 %","6.3 %","-3.64","-0.32","-5.57","-1.03","-4.03","41.1 %","53.5 %","47.6 %","67.6 %","90.7 %","81.3 %","17.1 %","48.6 %","34.3 %","8779"
"Jack Flaherty","Cardinals",".160","0","3.2 %","31.5 %",".189","24.2 %","58.1 %","17.7 %","2","89.3 %","76.8 %","48.3 %","4.6 %","13.0 %","9.2 %","3.8 %","-3.58","-7.72","-4.85","-3.70","-0.52","24.3 %","53.3 %","40.8 %","48.0 %","86.8 %","76.8 %","25.9 %","34.6 %","39.5 %","17479"
"Tyler Cravy","Brewers",".083","1","0.0 %","26.7 %",".083","14.3 %","42.9 %","42.9 %","6","89.5 %","77.8 %","59.0 %","2.6 %","5.1 %","18.0 %","2.6 %","-1.96","-18.91","-10.32","-6.89","2.36","53.9 %","76.9 %","69.2 %","57.1 %","85.0 %","77.8 %","54.6 %","18.2 %","27.3 %","10770"
"Chris Marrero","Giants",".132","1","4.9 %","22.0 %",".171","26.7 %","26.7 %","46.7 %","-2","89.1 %","76.7 %","36.0 %","7.2 %","22.9 %","3.9 %","5.9 %","-7.69","-7.32","-5.42","-4.55","13.27","34.1 %","64.7 %","47.7 %","48.3 %","95.5 %","76.7 %","36.7 %","26.7 %","36.7 %","2852"
"Alec Asher","- - -",".167","0","0.0 %","50.0 %",".167","33.3 %","33.3 %","33.3 %","-2","72.2 %","57.1 %","32.0 %","2.7 %","10.7 %","9.3 %","1.3 %","-1.04","-0.46","-4.18","-6.67","48.36","25.8 %","43.2 %","36.0 %","37.5 %","63.2 %","55.6 %","44.4 %","33.3 %","22.2 %","13560"
"Vance Worley","- - -",".179","0","0.0 %","31.1 %",".179","16.7 %","62.5 %","20.8 %","-2","88.4 %","76.9 %","50.8 %","2.5 %","20.0 %","4.2 %","0.8 %","-2.97","10.02","-8.89","-13.26","-3.67","45.1 %","55.1 %","50.8 %","47.8 %","92.1 %","75.4 %","32.3 %","38.7 %","29.0 %","6435"
"Josh Tomlin","- - -",".167","0","0.0 %","42.1 %",".167","20.0 %","40.0 %","40.0 %","7","76.9 %","69.2 %","46.8 %","5.2 %","7.8 %","7.8 %","2.6 %","-3.14","0.46","-13.38","8.72","-18.92","31.3 %","64.4 %","50.7 %","50.0 %","75.9 %","69.2 %","9.1 %","54.6 %","36.4 %","9388"
"Aaron Harang","Phillies",".167","0","1.7 %","31.0 %",".184","11.1 %","77.8 %","11.1 %","-4","81.7 %","71.3 %","49.5 %","4.8 %","6.9 %","7.5 %","1.1 %","-4.34","-3.81","0.63","-1.85","13.11","36.3 %","70.1 %","53.7 %","39.4 %","86.8 %","71.3 %","23.1 %","51.3 %","25.6 %","1451"
"Dan Haren","- - -",".122","0","7.7 %","24.6 %",".200","16.1 %","64.5 %","19.4 %","-2","88.0 %","83.2 %","47.4 %","7.5 %","7.5 %","9.4 %","1.9 %","-4.32","-2.33","-9.00","-4.65","-12.00","31.3 %","59.8 %","47.0 %","60.0 %","92.9 %","83.0 %","29.6 %","38.6 %","31.8 %","1757"
"Joel De La Cruz","Braves",".188","0","0.0 %","44.4 %",".188","28.6 %","57.1 %","14.3 %","-7","61.1 %","51.7 %","47.5 %","","17.0 %","6.8 %","1.7 %","-7.11","","-6.64","-9.23","-5.90","34.8 %","58.3 %","49.2 %","25.0 %","61.9 %","51.7 %","40.0 %","40.0 %","20.0 %","12825"
"Luis Perdomo","Padres",".131","0","1.8 %","35.7 %",".155","21.4 %","51.8 %","26.8 %","-4","77.1 %","69.7 %","42.3 %","1.8 %","18.9 %","8.3 %","3.3 %","-1.08","-1.36","-7.12","-6.57","-7.30","38.7 %","62.8 %","52.7 %","52.7 %","77.2 %","69.7 %","23.2 %","42.0 %","34.8 %","14682"
"Joe Hudson","- - -",".154","0","0.0 %","7.7 %",".154","33.3 %","33.3 %","33.3 %","-2","100.0 %","100.0 %","23.9 %","2.2 %","13.0 %","4.4 %","6.5 %","-8.54","-25.96","-2.16","2.40","26.86","10.5 %","59.3 %","39.1 %","100.0 %","100.0 %","100.0 %","25.0 %","41.7 %","33.3 %","14412"
"Gerrit Cole","- - -",".152","2","1.5 %","40.9 %",".171","15.0 %","66.3 %","18.8 %","-4","73.6 %","64.8 %","41.4 %","8.1 %","10.8 %","7.2 %","3.3 %","-2.95","-2.74","-7.06","-4.23","-6.69","36.6 %","56.5 %","47.3 %","47.9 %","75.0 %","65.4 %","24.8 %","38.9 %","36.3 %","13125"
"Blake Lalli","Braves",".154","0","0.0 %","23.1 %",".154","20.0 %","60.0 %","20.0 %","-8","94.4 %","88.0 %","42.5 %","","20.0 %","10.0 %","5.0 %","-11.65","","0.47","-4.85","-23.11","38.9 %","81.8 %","62.5 %","71.4 %","94.4 %","88.0 %","11.1 %","55.6 %","33.3 %","9246"
"Jose Berrios","Twins",".143","0","6.7 %","53.3 %",".200","40.0 %","40.0 %","20.0 %","-4","58.8 %","52.4 %","51.0 %","3.9 %","15.7 %","15.7 %","7.8 %","-1.28","-1.33","-9.96","-2.93","3.40","19.1 %","56.7 %","41.2 %","0.0 %","64.7 %","52.4 %","0.0 %","50.0 %","50.0 %","14168"
"Joe Musgrove","- - -",".149","0","2.0 %","31.4 %",".169","21.6 %","49.0 %","29.4 %","-5","75.7 %","69.3 %","42.3 %","4.0 %","15.7 %","10.5 %","7.7 %","-2.40","-7.43","-6.01","-5.55","-4.62","43.0 %","67.9 %","55.3 %","54.9 %","77.8 %","68.7 %","29.4 %","39.7 %","30.9 %","12970"
"Mitch Walding","Phillies",".053","1","9.5 %","66.7 %",".143","0.0 %","60.0 %","40.0 %","-5","60.7 %","46.5 %","31.3 %","4.2 %","19.8 %","14.6 %","7.3 %","-4.93","10.74","-6.17","5.76","-3.36","33.3 %","57.8 %","44.8 %","17.7 %","65.4 %","46.5 %","60.0 %","20.0 %","20.0 %","13006"
"Julio Urias","Dodgers",".171","0","1.9 %","34.6 %",".190","15.8 %","68.4 %","15.8 %","-1","84.8 %","69.6 %","51.8 %","1.8 %","7.7 %","4.8 %","7.1 %","-4.00","-7.33","-10.04","-10.86","-3.34","43.7 %","49.5 %","47.0 %","35.5 %","91.7 %","69.6 %","27.3 %","33.3 %","39.4 %","14765"
